Time,CurrEstab,TCP_tw,Sockets_used,UDP_inuse,TCP_alloc,Tcp_InSegs,Tcp_OutSegs,Tcp_RetransSegs
2026-06-08 18:26:30,,,,,,,,
2026-06-08 18:26:31,,,,,,,,
2026-06-08 18:26:32,,,,,,,,
2026-06-08 18:26:33,,,,,,,,
2026-06-08 18:26:34,,,,,,,,
2026-06-08 18:26:35,,,,,,,,
2026-06-08 18:26:36,,,,,,,,
2026-06-08 18:26:37,,,,,,,,
2026-06-08 18:26:38,,,,,,,,
2026-06-08 18:26:39,,,,,,,,
2026-06-08 18:26:40,,,,,,,,
2026-06-08 18:26:41,,,,,,,,
2026-06-08 18:26:42,,,,,,,,
2026-06-08 18:26:43,,,,,,,,
2026-06-08 18:26:44,,,,,,,,
2026-06-08 18:26:45,,,,,,,,
2026-06-08 18:26:46,,,,,,,,
2026-06-08 18:26:47,,,,,,,,
2026-06-08 18:26:48,,,,,,,,
2026-06-08 18:26:49,,,,,,,,
2026-06-08 18:26:50,,,,,,,,
2026-06-08 18:26:51,,,,,,,,
2026-06-08 18:26:52,,,,,,,,
2026-06-08 18:26:53,,,,,,,,
2026-06-08 18:26:54,,,,,,,,
2026-06-08 18:26:55,,,,,,,,
2026-06-08 18:26:56,,,,,,,,
2026-06-08 18:26:57,,,,,,,,
2026-06-08 18:26:58,,,,,,,,
2026-06-08 18:26:59,,,,,,,,
2026-06-08 18:27:00,,,,,,,,
2026-06-08 18:27:01,,,,,,,,
2026-06-08 18:27:02,,,,,,,,
2026-06-08 18:27:03,,,,,,,,
2026-06-08 18:27:04,,,,,,,,
2026-06-08 18:27:05,,,,,,,,
2026-06-08 18:27:06,,,,,,,,
2026-06-08 18:27:07,,,,,,,,
2026-06-08 18:27:08,,,,,,,,
2026-06-08 18:27:09,,,,,,,,
2026-06-08 18:27:10,,,,,,,,
2026-06-08 18:27:11,,,,,,,,
2026-06-08 18:27:12,,,,,,,,
2026-06-08 18:27:13,,,,,,,,
2026-06-08 18:27:14,,,,,,,,
2026-06-08 18:27:15,,,,,,,,
2026-06-08 18:27:16,,,,,,,,
2026-06-08 18:27:17,,,,,,,,
2026-06-08 18:27:18,,,,,,,,
2026-06-08 18:27:19,,,,,,,,
2026-06-08 18:27:20,,,,,,,,
2026-06-08 18:27:21,,,,,,,,
2026-06-08 18:27:22,,,,,,,,
2026-06-08 18:27:23,,,,,,,,
2026-06-08 18:27:24,,,,,,,,
2026-06-08 18:27:25,,,,,,,,
2026-06-08 18:27:26,,,,,,,,
2026-06-08 18:27:27,,,,,,,,
2026-06-08 18:27:28,,,,,,,,
2026-06-08 18:27:29,,,,,,,,
2026-06-08 18:27:30,,,,,,,,
2026-06-08 18:27:31,,,,,,,,
2026-06-08 18:27:32,,,,,,,,
2026-06-08 18:27:33,,,,,,,,
2026-06-08 18:27:34,,,,,,,,
2026-06-08 18:27:35,,,,,,,,
2026-06-08 18:27:36,,,,,,,,
2026-06-08 18:27:37,,,,,,,,
2026-06-08 18:27:38,,,,,,,,
2026-06-08 18:27:39,,,,,,,,
2026-06-08 18:27:40,,,,,,,,
2026-06-08 18:27:41,,,,,,,,
2026-06-08 18:27:42,,,,,,,,
2026-06-08 18:27:43,,,,,,,,
2026-06-08 18:27:44,,,,,,,,
2026-06-08 18:27:45,,,,,,,,
2026-06-08 18:27:46,,,,,,,,
2026-06-08 18:27:47,,,,,,,,
2026-06-08 18:27:48,,,,,,,,
2026-06-08 18:27:49,,,,,,,,
2026-06-08 18:27:50,,,,,,,,
2026-06-08 18:27:51,,,,,,,,
2026-06-08 18:27:52,,,,,,,,
2026-06-08 18:27:53,,,,,,,,
2026-06-08 18:27:54,,,,,,,,
2026-06-08 18:27:55,,,,,,,,
2026-06-08 18:27:56,,,,,,,,
2026-06-08 18:27:57,,,,,,,,
2026-06-08 18:27:58,,,,,,,,
2026-06-08 18:27:59,,,,,,,,
2026-06-08 18:28:00,,,,,,,,
2026-06-08 18:28:01,,,,,,,,
2026-06-08 18:28:02,,,,,,,,
2026-06-08 18:28:03,,,,,,,,
2026-06-08 18:28:04,,,,,,,,
2026-06-08 18:28:05,,,,,,,,
2026-06-08 18:28:06,,,,,,,,
2026-06-08 18:28:07,,,,,,,,
2026-06-08 18:28:08,,,,,,,,
2026-06-08 18:28:09,,,,,,,,
2026-06-08 18:28:10,,,,,,,,
2026-06-08 18:28:11,,,,,,,,
2026-06-08 18:28:12,,,,,,,,
2026-06-08 18:28:13,,,,,,,,
2026-06-08 18:28:14,,,,,,,,
2026-06-08 18:28:15,,,,,,,,
2026-06-08 18:28:16,,,,,,,,
2026-06-08 18:28:17,,,,,,,,
2026-06-08 18:28:18,,,,,,,,
2026-06-08 18:28:19,,,,,,,,
2026-06-08 18:28:20,,,,,,,,
2026-06-08 18:28:21,,,,,,,,
2026-06-08 18:28:22,,,,,,,,
2026-06-08 18:28:23,,,,,,,,
2026-06-08 18:28:24,,,,,,,,
2026-06-08 18:28:25,,,,,,,,
2026-06-08 18:28:26,,,,,,,,
2026-06-08 18:28:27,,,,,,,,
2026-06-08 18:28:28,,,,,,,,
2026-06-08 18:28:29,,,,,,,,
2026-06-08 18:28:30,,,,,,,,
2026-06-08 18:28:31,,,,,,,,
2026-06-08 18:28:32,,,,,,,,
2026-06-08 18:28:33,,,,,,,,
2026-06-08 18:28:34,,,,,,,,
2026-06-08 18:28:35,,,,,,,,
2026-06-08 18:28:36,,,,,,,,
2026-06-08 18:28:37,,,,,,,,
2026-06-08 18:28:38,,,,,,,,
2026-06-08 18:28:39,,,,,,,,
2026-06-08 18:28:40,,,,,,,,
2026-06-08 18:28:41,,,,,,,,
2026-06-08 18:28:42,,,,,,,,
2026-06-08 18:28:43,,,,,,,,
2026-06-08 18:28:44,,,,,,,,
2026-06-08 18:28:45,,,,,,,,
2026-06-08 18:28:46,,,,,,,,
2026-06-08 18:28:47,,,,,,,,
2026-06-08 18:28:48,,,,,,,,
2026-06-08 18:28:49,,,,,,,,
2026-06-08 18:28:50,,,,,,,,
2026-06-08 18:28:51,,,,,,,,
2026-06-08 18:28:52,,,,,,,,
2026-06-08 18:28:53,,,,,,,,
2026-06-08 18:28:54,,,,,,,,
2026-06-08 18:28:55,,,,,,,,
2026-06-08 18:28:56,,,,,,,,
2026-06-08 18:28:57,,,,,,,,
2026-06-08 18:28:58,,,,,,,,
2026-06-08 18:28:59,,,,,,,,
2026-06-08 18:29:00,224,76,,1,358,,,
2026-06-08 18:29:01,224,76,,1,358,,,
2026-06-08 18:29:02,224,77,,1,359,,,
2026-06-08 18:29:03,223,77,,1,360,,,
2026-06-08 18:29:04,223,78,,1,361,,,
2026-06-08 18:29:05,223,79,,1,362,,,
2026-06-08 18:29:06,224,80,,1,363,,,
2026-06-08 18:29:07,224,82,,1,364,,,
2026-06-08 18:29:08,225,83,,1,366,,,
2026-06-08 18:29:09,224,84,,1,367,,,
2026-06-08 18:29:10,224,84,,1,369,,,
2026-06-08 18:29:11,223,85,,1,371,,,
2026-06-08 18:29:12,223,85,,1,373,,,
2026-06-08 18:29:13,223,86,,1,374,,,
2026-06-08 18:29:14,223,87,,1,374,,,
2026-06-08 18:29:15,223,87,,1,374,244.0,252.0,0.533
2026-06-08 18:29:16,223,87,,1,374,246.785,255.342,0.563
2026-06-08 18:29:17,223,88,,1,374,248.579,258.91,0.5718
2026-06-08 18:29:18,223,89,,1,374,248.567,259.6,0.5601
2026-06-08 18:29:19,223,91,,1,374,247.986,256.778,0.5494
2026-06-08 18:29:20,223,92,,1,375,248.247,252.69,0.5462
2026-06-08 18:29:21,222,94,,1,376,249.067,250.276,0.524
2026-06-08 18:29:22,222,96,,1,377,248.661,250.571,0.4454
2026-06-08 18:29:23,221,99,,1,378,245.846,252.138,0.3059
2026-06-08 18:29:24,221,101,,1,378,241.817,252.951,0.1525
2026-06-08 18:29:25,221,104,,1,379,239.613,252.652,0.0549
2026-06-08 18:29:26,221,106,,1,379,241.539,252.852,0.0514
2026-06-08 18:29:27,221,107,,1,380,246.949,255.182,0.1183
2026-06-08 18:29:28,221,108,,1,380,252.568,259.167,0.1915
2026-06-08 18:29:29,221,109,,1,380,255.142,262.235,0.2193
2026-06-08 18:29:30,221,109,,1,380,254.0,262.0,0.2
2026-06-08 18:29:31,221,109,,1,380,254.747,259.462,0.205
2026-06-08 18:29:32,221,108,,1,380,259.052,257.1,0.245
2026-06-08 18:29:33,221,108,,1,379,263.831,257.939,0.2775
2026-06-08 18:29:34,221,107,,1,378,267.195,262.187,0.2735
2026-06-08 18:29:35,220,107,,1,377,269.905,267.515,0.2426
2026-06-08 18:29:36,220,106,,1,376,273.828,271.83,0.2154
2026-06-08 18:29:37,220,105,,1,376,279.19,275.536,0.2055
2026-06-08 18:29:38,220,103,,1,376,283.662,280.888,0.1918
2026-06-08 18:29:39,220,102,,1,375,284.42,289.108,0.1401
2026-06-08 18:29:40,221,101,,1,374,281.179,298.319,0.044
2026-06-08 18:29:41,221,100,,1,374,277.063,304.616,0.0
2026-06-08 18:29:42,220,99,,1,373,276.172,305.441,0.0
2026-06-08 18:29:43,220,98,,1,373,280.004,302.023,0.0
2026-06-08 18:29:44,220,98,,1,372,286.066,298.429,0.0
2026-06-08 18:29:45,220,98,,1,372,290.0,298.0,0.0
2026-06-08 18:29:46,220,98,,1,372,292.627,300.171,0.0162
2026-06-08 18:29:47,220,98,,1,372,292.412,300.117,0.0
2026-06-08 18:29:48,220,98,,1,372,286.663,298.139,0.0
2026-06-08 18:29:49,220,98,,1,373,275.915,295.936,0.0
2026-06-08 18:29:50,221,98,,1,374,264.458,293.939,0.0
2026-06-08 18:29:51,222,98,,1,375,257.424,290.206,0.0
2026-06-08 18:29:52,222,98,,1,376,256.883,282.298,0.0
2026-06-08 18:29:53,222,97,,1,377,260.448,270.377,0.0856
2026-06-08 18:29:54,222,97,,1,378,263.575,258.237,0.1367
2026-06-08 18:29:55,221,96,,1,378,263.338,250.864,0.1375
2026-06-08 18:29:56,221,96,,1,379,260.258,250.522,0.1215
2026-06-08 18:29:57,221,96,,1,379,256.798,254.932,0.1143
2026-06-08 18:29:58,222,96,,1,380,254.464,259.269,0.1122
2026-06-08 18:29:59,222,96,,1,380,252.598,260.15,0.0966
2026-06-08 18:30:00,222,96,653,1,380,250.0,258.0,0.0666
2026-06-08 18:30:01,222,96,,1,380,254.585,260.496,0.0454
2026-06-08 18:30:02,222,96,,1,380,257.757,260.279,0.0741
2026-06-08 18:30:03,222,96,,1,380,257.841,259.352,0.1264
2026-06-08 18:30:04,222,97,,1,380,256.597,260.376,0.1602
2026-06-08 18:30:05,222,97,,1,380,256.96,263.747,0.1575
2026-06-08 18:30:06,222,98,,1,380,259.93,267.417,0.137
2026-06-08 18:30:07,223,98,,1,380,263.751,269.511,0.1282
2026-06-08 18:30:08,223,99,,1,379,266.102,270.85,0.1358
2026-06-08 18:30:09,224,100,,1,379,266.893,274.548,0.1329
2026-06-08 18:30:10,224,101,,1,379,268.652,282.863,0.09
2026-06-08 18:30:11,223,102,,1,379,273.95,294.399,0.011
2026-06-08 18:30:12,223,102,,1,378,282.416,304.585,0.0
2026-06-08 18:30:13,223,102,,1,378,290.417,309.23,0.0
2026-06-08 18:30:14,223,102,,1,378,293.937,307.905,0.0
2026-06-08 18:30:15,223,102,,1,378,292.0,304.0,0.0
2026-06-08 18:30:16,223,102,,1,378,291.157,300.954,0.0
2026-06-08 18:30:17,223,102,,1,378,289.336,301.501,0.0
2026-06-08 18:30:18,223,102,,1,378,285.826,304.679,0.0
2026-06-08 18:30:19,223,102,,1,378,279.386,306.806,0.0
2026-06-08 18:30:20,223,102,,1,379,270.778,305.013,0.0
2026-06-08 18:30:21,223,102,,1,379,263.531,299.724,0.0
2026-06-08 18:30:22,224,101,,1,380,261.623,293.802,0.0
2026-06-08 18:30:23,224,101,,1,381,265.98,289.423,0.0
2026-06-08 18:30:24,224,100,,1,382,273.143,285.964,0.0
2026-06-08 18:30:25,223,99,,1,383,277.619,281.04,0.0
2026-06-08 18:30:26,223,99,,1,384,276.032,273.565,0.0
2026-06-08 18:30:27,223,99,,1,384,269.444,265.581,0.0
2026-06-08 18:30:28,223,99,,1,384,261.975,260.809,0.0
2026-06-08 18:30:29,223,99,,1,384,257.244,261.216,0.0
2026-06-08 18:30:30,223,99,,1,384,256.0,265.0,0.0
2026-06-08 18:30:31,223,99,,1,384,254.965,268.151,0.0461
2026-06-08 18:30:32,223,99,,1,384,250.348,267.898,0.0463
2026-06-08 18:30:33,223,98,,1,384,245.229,263.1,0.0
2026-06-08 18:30:34,224,98,,1,383,242.67,255.908,0.0
2026-06-08 18:30:35,225,97,,1,383,243.176,249.744,0.0
2026-06-08 18:30:36,226,96,,1,382,244.653,246.294,0.0
2026-06-08 18:30:37,227,94,,1,382,244.752,244.421,0.0
2026-06-08 18:30:38,227,92,,1,381,243.179,241.908,0.0862
2026-06-08 18:30:39,227,90,,1,381,241.696,238.111,0.1451
2026-06-08 18:30:40,227,89,,1,381,241.931,234.741,0.1784
2026-06-08 18:30:41,228,89,,1,381,243.373,233.998,0.2146
2026-06-08 18:30:42,228,88,,1,381,243.706,236.008,0.2649
2026-06-08 18:30:43,229,87,,1,381,241.235,238.31,0.307
2026-06-08 18:30:44,229,87,,1,380,236.941,238.082,0.3086
2026-06-08 18:30:45,229,87,,1,380,234.0,235.0,0.267
2026-06-08 18:30:46,229,87,,1,380,239.322,240.005,0.22
2026-06-08 18:30:47,228,88,,1,380,253.132,246.647,0.2314
2026-06-08 18:30:48,228,89,,1,381,271.762,257.879,0.3063
2026-06-08 18:30:49,228,90,,1,382,287.35,273.025,0.4038
2026-06-08 18:30:50,228,91,,1,382,293.628,287.371,0.4774
2026-06-08 18:30:51,227,93,,1,383,291.715,297.394,0.5165
2026-06-08 18:30:52,227,94,,1,384,290.112,305.934,0.5486
2026-06-08 18:30:53,227,95,,1,385,298.267,321.201,0.6015
2026-06-08 18:30:54,227,96,,1,386,319.161,349.615,0.6683
2026-06-08 18:30:55,226,97,,1,387,347.331,388.917,0.7104
2026-06-08 18:30:56,226,98,,1,388,373.722,428.312,0.6979
2026-06-08 18:30:57,226,99,,1,389,392.524,455.96,0.6449
2026-06-08 18:30:58,226,100,,1,390,403.78,467.274,0.6023
2026-06-08 18:30:59,225,101,,1,390,410.14,466.71,0.6122
2026-06-08 18:31:00,225,101,,1,390,412.0,462.0,0.667
2026-06-08 18:31:01,225,101,,1,390,404.508,453.584,0.6353
2026-06-08 18:31:02,225,101,,1,389,394.786,439.237,0.5379
2026-06-08 18:31:03,225,102,,1,389,389.367,426.825,0.4212
2026-06-08 18:31:04,225,102,,1,388,391.052,422.883,0.3561
2026-06-08 18:31:05,225,102,,1,388,395.535,426.447,0.3803
2026-06-08 18:31:06,225,101,,1,388,394.183,428.89,0.4646
2026-06-08 18:31:07,225,101,,1,388,380.928,420.559,0.5344
2026-06-08 18:31:08,225,100,,1,388,357.226,398.533,0.5299
2026-06-08 18:31:09,225,100,,1,387,330.707,368.68,0.4494
2026-06-08 18:31:10,225,100,,1,386,309.023,340.495,0.3404
2026-06-08 18:31:11,224,101,,1,385,294.667,319.838,0.2512
2026-06-08 18:31:12,224,101,,1,385,285.194,306.213,0.1923
2026-06-08 18:31:13,225,101,,1,384,277.8,296.345,0.1438
2026-06-08 18:31:14,225,101,,1,384,273.069,289.552,0.0944
2026-06-08 18:31:15,225,101,,1,384,274.0,289.0,0.0667
2026-06-08 18:31:16,225,101,,1,384,277.374,286.583,0.1401
2026-06-08 18:31:17,225,101,,1,384,281.31,289.394,0.2159
2026-06-08 18:31:18,226,102,,1,385,282.383,298.121,0.2414
2026-06-08 18:31:19,226,102,,1,385,278.632,309.129,0.2183
2026-06-08 18:31:20,227,102,,1,386,272.172,316.974,0.1941
2026-06-08 18:31:21,227,103,,1,386,268.351,318.683,0.2127
2026-06-08 18:31:22,226,103,,1,386,271.766,315.897,0.2739
2026-06-08 18:31:23,226,104,,1,386,282.547,313.011,0.3398
2026-06-08 18:31:24,227,105,,1,387,296.245,313.199,0.3796
2026-06-08 18:31:25,227,107,,1,388,307.367,316.099,0.4041
2026-06-08 18:31:26,228,107,,1,389,313.306,319.107,0.4532
2026-06-08 18:31:27,228,108,,1,390,315.277,320.59,0.5496
2026-06-08 18:31:28,229,108,,1,390,315.883,321.551,0.6658
2026-06-08 18:31:29,229,108,,1,390,316.139,324.02,0.7408
2026-06-08 18:31:30,229,108,,1,390,315.0,328.0,0.733
2026-06-08 18:31:31,229,108,,1,390,316.673,329.91,0.7602
2026-06-08 18:31:32,229,108,,1,390,317.112,329.599,0.7577
2026-06-08 18:31:33,229,109,,1,389,315.161,324.049,0.6839
2026-06-08 18:31:34,229,109,,1,389,312.201,312.116,0.5233
2026-06-08 18:31:35,229,109,,1,388,309.92,297.026,0.3207
2026-06-08 18:31:36,229,110,,1,388,307.643,285.026,0.1616
2026-06-08 18:31:37,228,112,,1,388,302.342,280.915,0.1109
2026-06-08 18:31:38,227,113,,1,388,291.667,284.311,0.1622
